País;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;TOTAL
TOTAL;178918;181955;196190;145147;126632;150809;164246;137510;93255;112868;144194;185319;1817043
AMÉRICA DEL NORTE;99786;105777;121903;79995;76905;100492;94766;72775;46016;54972;74763;109059;1037209
Canadá;16909;18060;16089;7858;5301;4646;5283;4432;2865;4310;7792;13654;107199
Estados Unidos;74691;81633;98830;64311;64841;88963;80610;60725;36099;43600;59393;88275;841971
México;8186;6084;6984;7826;6763;6883;8873;7618;7052;7062;7578;7130;88039
AMÉRICA CENTRAL;12323;10458;12197;11208;11229;11517;11631;12389;11365;14535;11936;11793;142581
Belice;100;45;90;56;61;52;96;102;66;156;68;61;953
El Salvador;3343;2562;2853;2901;2770;2514;3058;3364;2597;3769;2890;2980;35601
Guatemala;3486;3054;3661;3537;3308;3825;3356;3591;3382;4565;3436;3472;42673
Honduras;1690;1211;1632;1346;1416;1508;1374;1290;1436;1682;1620;1332;17537
Nicaragua;1534;1225;1504;1256;1388;1417;1468;1481;1621;1493;1613;1766;17766
Panamá;2170;2361;2457;2112;2286;2201;2279;2561;2263;2870;2309;2182;28051
AMÉRICA DEL SUR;18422;15219;14816;13346;13681;13288;14161;12629;12237;13514;14199;14191;169703
Argentina;3730;3241;3328;2724;2615;2286;2027;1734;1662;1857;2115;2671;29990
Bolivia;351;120;193;140;151;231;193;166;151;169;250;161;2276
Brasil;2688;2019;1870;1851;1933;1675;1938;1803;1442;1655;1832;1832;22538
Chile;2167;2572;1523;1220;1208;1241;1671;1290;1106;1297;1234;1227;17756
Colombia;4019;2989;3400;3157;3414;3553;3565;3144;3380;3745;3543;3497;41406
Ecuador;614;411;481;393;443;483;478;424;456;514;647;483;5827
Guyana;7;8;20;27;12;45;23;15;10;16;17;2;202
Paraguay;310;143;85;82;63;106;74;60;67;93;127;71;1281
Perú;1417;1142;1224;1085;1184;1111;1406;1201;1235;1573;1596;1226;15400
Surinam;6;5;11;6;2;15;2;6;13;6;9;1;82
Uruguay;535;308;348;364;318;404;342;363;378;303;366;349;4378
Venezuela;2578;2261;2333;2297;2338;2138;2442;2423;2337;2286;2463;2671;28567
CARIBE;1043;944;1005;1015;967;1222;1124;1070;935;1194;987;699;12205
Bahamas;15;16;17;40;27;45;45;35;24;23;18;6;311
Bermuda;12;22;40;18;27;78;20;22;10;11;25;16;301
Cuba;269;192;255;198;247;235;253;216;209;235;269;165;2743
Haití;28;27;33;28;40;58;35;39;27;26;56;38;435
Jamaica;58;66;121;54;97;100;123;123;77;59;84;52;1014
Puerto Rico1;;;;;;1;3;;;1;;;5
República Dominicana;577;514;413;484;404;541;436;473;458;579;438;324;5641
Trinidad y Tobago;55;73;81;144;78;117;162;111;94;194;64;53;1226
Otros Caribe;29;34;45;49;47;47;47;51;36;66;33;45;529
EUROPA;42421;45062;40758;35131;20239;20676;38870;35026;19660;25215;37685;43778;404521
Alemania;6300;7502;8120;5896;3152;3275;4860;4638;3376;4825;7221;6142;65307
Austria;904;790;631;433;324;313;699;447;283;353;673;859;6709
Bélgica;905;933;878;1106;419;616;1680;816;590;642;875;926;10386
Dinamarca;897;1179;614;400;183;254;656;182;163;326;466;718;6038
Eslovaquia;108;103;96;88;45;57;38;35;74;51;90;115;900
España;4306;3746;4022;5046;3606;4558;6682;10717;5069;4322;4934;4903;61911
Finlandia;209;158;175;72;46;85;49;36;57;61;139;259;1346
Francia;7813;11014;8803;6130;2753;2135;5364;4695;1783;3776;6658;6696;67620
Hungría;232;185;225;88;94;76;69;84;56;103;98;232;1542
Irlanda;379;267;273;242;241;234;368;300;162;187;247;314;3214
Israel;1025;1432;1063;1318;779;606;1137;824;784;941;659;1144;11712
Italia;2608;2239;1890;1864;1294;1354;1723;2766;1250;1549;2007;3383;23927
Noruega;405;361;304;307;108;242;259;123;93;176;262;485;3125
Países Bajos;2625;2392;2186;2070;1355;1201;6171;2626;1743;1632;2696;2661;29358
Polonia;798;525;401;231;171;170;162;197;155;191;438;399;3838
Portugal;450;440;408;600;372;290;310;532;243;352;492;468;4957
Reino Unido;6243;5926;5451;4774;2921;3003;5334;3918;1974;2726;4617;5636;52523
Republica Checa;372;430;407;205;135;150;138;95;79;154;365;349;2879
Rumanía;201;197;157;133;97;75;80;84;72;129;162;223;1610
Rusia;552;367;399;353;272;282;233;184;158;276;285;707;4068
Suecia;1416;1297;861;424;183;309;251;190;184;423;751;2899;9188
Suiza;2688;2610;2577;2651;1187;1003;2158;1015;965;1488;2676;3130;24148
Otros Europa;985;969;817;700;502;388;449;522;347;532;874;1130;8215
ASIA Y EL PACÍFICO;4578;4219;5097;4043;3367;3381;3431;3310;2790;3144;4358;5427;47145
China;1104;1307;2163;1416;1099;1195;1081;1027;946;1040;1395;1592;15365
Filipinas;181;171;158;155;131;137;146;153;113;135;160;147;1787
India;510;572;794;616;614;619;512;567;456;515;906;1235;7916
Japón;603;741;564;500;339;335;320;453;373;266;502;750;5746
Rep. de Corea (Sur);555;427;334;283;257;220;399;271;238;270;347;329;3930
Rep. Dem. Pop. Corea (Norte);;;;;;;;;;;;1;1
Taiwan;200;124;149;149;98;123;142;123;122;186;138;111;1665
Australia;1105;571;563;605;485;467;491;425;313;404;604;761;6794
Nueva Zelanda;150;122;104;157;134;109;158;107;69;125;129;194;1558
Otros Asia y El Pacífico;170;184;268;162;210;176;182;184;160;203;177;307;2383
ÁFRICA;262;209;288;313;201;152;172;235;177;229;206;250;2694
Marruecos;26;27;42;30;12;20;17;33;9;11;22;23;272
Nigeria;22;14;33;25;21;11;17;30;12;25;12;10;232
Sudáfrica;82;81;114;95;73;71;71;71;91;112;117;149;1127
Otros África;132;87;99;163;95;50;67;101;65;81;55;68;1063
ORIENTE MEDIO;83;67;126;96;43;81;91;76;75;65;60;122;985
Arabia Saudita;12;17;28;5;5;18;20;11;10;8;4;36;174
Egipto;26;16;26;27;11;19;29;11;21;15;15;20;236
Emiratos Árabes Unidos;7;3;1;25;4;17;7;6;8;14;3;10;105
Jordania;7;6;9;6;6;4;3;9;14;6;7;5;82
Líbano;13;15;12;19;7;10;15;15;9;10;17;10;152
Otros Oriente Medio;18;10;50;14;10;13;17;24;13;12;14;41;236
