País;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;TOTAL
Gran Total;135395;134722;143749;111655;98123;121146;138972;112073;79171;87570;118767;149282;1430625
AMÉRICA DEL NORTE;78902;81394;91533;66783;61169;84358;84293;61859;42030;47063;65379;93866;858629
Canadá;11781;12900;9817;6131;4124;3350;4579;3667;2240;3202;5733;9373;76897
Estados Unidos;61594;63568;75359;54993;51450;75165;71150;51245;32610;37442;52133;76782;703491
México;5527;4926;6357;5659;5595;5843;8564;6947;7180;6419;7513;7711;78241
AMÉRICA CENTRAL;8675;7545;8558;8431;8923;9025;9188;8763;8234;9302;10165;9165;105974
Belice;73;44;33;87;59;33;67;73;55;34;47;28;633
El Salvador;1728;1338;1810;1858;2001;1992;2239;2172;1867;2203;2307;2300;23815
Guatemala;2563;2204;2571;2539;2615;2751;2295;2296;2283;2687;3226;2682;30712
Honduras;1382;1028;1124;1057;1227;1128;1213;1075;1128;1164;1144;865;13535
Nicaragua;1000;921;1026;878;964;993;1165;907;915;1055;1081;983;11888
Panamá;1929;2010;1994;2012;2057;2128;2209;2240;1986;2159;2360;2307;25391
AMÉRICA DEL SUR;12873;10007;9717;9255;9843;9366;11380;10225;10130;10038;11658;10867;125359
Argentina;1973;1437;1340;1250;1345;1290;1540;1318;1253;1308;1736;1824;17614
Bolivia;176;123;122;177;173;158;155;145;204;124;153;172;1882
Brasil;1797;1543;1203;1406;1309;1160;1525;1342;1155;1143;1685;1244;16512
Chile;1106;1037;660;571;628;649;899;702;636;664;853;694;9099
Colombia;3748;2657;3107;2719;2844;2800;3165;3020;2927;3137;3397;3179;36700
Ecuador;719;394;469;351;519;406;504;482;538;407;483;437;5709
Guyana;15;4;18;12;16;13;12;11;15;10;17;12;155
Paraguay;81;53;114;76;134;62;71;54;128;63;74;64;974
Perú;790;819;773;796;848;809;917;839;1048;870;888;903;10300
Surinam;19;3;8;5;8;9;11;5;10;8;9;4;99
Uruguay;232;350;313;219;301;273;294;220;265;224;306;263;3260
Venezuela;2217;1587;1590;1673;1718;1737;2287;2087;1951;2080;2057;2071;23055
CARIBE;1170;898;933;901;825;998;1133;1235;830;803;924;712;11362
Bahamas;32;23;65;24;23;16;63;68;9;11;23;19;376
Bermuda;15;20;92;43;32;27;29;28;51;22;26;19;404
Cuba;423;170;192;154;178;163;267;264;172;194;274;218;2669
Haití;61;26;10;4;28;23;24;28;17;16;57;21;315
Jamaica;62;115;82;74;77;65;81;125;63;55;43;40;882
Puerto Rico1;1;;3;1;1;4;1;;;;;;11
RepúblicaDominicana;443;421;377;431;352;459;407;434;410;421;396;309;4860
Trinidad y Tobago;72;70;70;113;76;204;232;193;79;50;64;57;1280
Otros;61;53;42;57;58;37;29;95;29;34;41;29;565
EUROPA;30839;32085;30011;23249;14866;14756;30296;27134;15553;17859;27219;30348;294215
Alemania;4739;5731;6686;3520;2251;1923;4050;4408;2194;3093;5107;4648;48350
Austria;701;737;574;284;216;200;608;488;165;278;522;606;5379
Bélgica;677;773;867;865;307;340;1334;628;411;428;783;838;8251
Dinamarca;719;539;392;153;137;181;443;116;115;208;326;571;3900
Eslovaquia;59;90;42;63;29;24;20;32;30;34;72;60;555
España;3875;3263;4400;3671;3465;3841;5833;8461;5047;4229;4463;3695;54243
Finlandia;256;146;116;67;44;55;53;44;35;54;178;321;1369
Francia;5545;7283;5145;4776;2110;1524;4114;3267;1128;2102;3980;3981;44955
Hungría;119;106;63;62;64;30;48;38;34;63;86;78;791
Irlanda;218;177;155;151;134;131;240;155;107;138;177;222;2005
Israel;1241;1181;1093;1215;705;870;1072;815;1095;695;670;1178;11830
Italia;2398;1851;1504;1300;1042;1242;1554;2299;1154;1424;1786;2609;20163
Noruega;279;320;351;152;88;170;244;86;93;158;347;306;2594
Países Bajos;2013;1889;1416;1332;1025;966;4218;1563;1168;1188;1715;1887;20380
Polonia;232;369;200;143;98;117;146;100;92;127;359;205;2188
Portugal;211;227;261;275;181;137;201;327;158;186;251;207;2622
Reino Unido;3191;3681;3575;2455;1527;1644;3527;2697;1245;1553;2816;3300;31211
Republica Checa;205;226;216;84;40;53;90;66;61;75;174;171;1461
Rumanía;133;97;90;100;104;97;53;78;64;82;130;104;1132
Rusia;411;221;203;226;166;130;167;223;139;206;246;307;2645
Suecia;1120;963;706;330;111;230;213;155;183;340;824;2466;7641
Suiza;1874;1751;1491;1587;729;657;1707;714;588;886;1736;1955;15675
Otros;623;464;465;438;293;194;361;374;247;312;471;633;4875
ASIA;1954;2024;2304;2206;1843;1937;1963;2102;1840;1811;2540;3159;25683
China;572;547;816;820;706;560;649;710;735;683;893;996;8687
Filipinas;99;101;105;132;80;116;92;94;74;86;93;116;1188
India;351;277;390;388;433;470;461;390;340;365;653;799;5317
Japón;367;550;474;348;277;259;331;357;317;220;376;570;4446
Rep. de Corea (Sur);365;348;284;257;157;311;229;236;200;265;302;393;3347
Rep. Dem. Pop. Corea (Norte);;;;;;;;;;;;;
Taiwan;126;125;112;83;123;110;70;81;75;82;119;74;1 180
Otros;106;117;146;118;123;90;124;128;109;113;176;230;1580
ÁFRICA;213;200;252;244;239;161;271;257;180;137;214;288;2656
Arabia Saudita;16;2;27;8;21;7;7;22;11;4;9;14;148
Líbano;11;7;13;15;10;22;13;15;8;9;12;12;147
Marruecos;14;6;8;15;12;4;12;27;3;11;8;32;152
Nigeria;7;11;15;15;12;14;25;20;21;11;5;10;166
Sudáfrica;47;59;48;83;76;47;73;45;47;49;72;106;752
Otros;118;115;141;108;108;67;141;128;90;53;108;114;1291
OCEANÍA;859;614;560;787;660;558;569;570;481;590;717;1028;7993
Australia;742;511;479;610;522;451;456;466;382;491;573;874;6557
Nueva Zelanda;112;97;81;174;136;103;111;101;99;94;143;153;1404
Otros;5;6;3;2;4;2;3;5;1;1;32;;
