País;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Total
Noruega;34;20;35;31;18;36;31;30;56;109;121;306;827
Países Bajos;298;288;432;565;391;378;1180;588;578;808;1301;2231;9038
Polonia;276;323;472;438;188;149;442;351;247;390;1037;612;4925
Portugal;91;79;158;125;175;165;200;324;185;273;583;468;2826
Reino Unido;892;844;1234;1409;962;608;673;590;528;760;1423;3905;13828
Republica Checa;545;509;542;501;208;218;404;325;213;345;822;575;5207
Rumanía;119;85;108;123;67;47;88;82;38;68;127;247;1199
Rusia;191;201;209;226;186;169;238;208;191;203;354;511;2887
Suecia;173;144;174;140;70;96;126;83;172;271;507;1225;3181
Suiza;1204;1444;1789;2438;899;500;2128;1083;901;1529;2797;3394;20106
Otros Europa;390;422;516;585;346;317;496;456;306;420;858;1379;6491
ASIA Y EL PACÍFICO;422;326;574;582;564;674;903;927;786;654;1115;1751;9278
China;95;51;99;95;87;120;126;123;115;127;162;335;1535
Filipinas;40;33;62;46;59;81;78;98;104;81;79;76;837
India;60;65;89;108;129;132;337;293;198;143;310;498;2362
Japón;41;20;56;49;44;42;65;95;63;40;88;159;762
Rep. de Corea (Sur);23;23;33;59;27;36;58;57;73;49;105;115;658
Rep. Dem. Pop. Corea (Norte);;;;;;;;;;;;;
Taiwan;11;2;10;4;12;8;19;18;10;8;29;49;180
Australia;99;99;145;116;102;132;106;113;106;107;188;270;1583
Nueva Zelanda;17;14;35;34;35;36;31;26;27;34;36;74;399
Otros Asia y El Pacífico;36;19;45;71;69;87;83;104;90;65;118;175;962
ÁFRICA;89;122;170;180;131;146;157;174;157;135;178;249;1888
Marruecos;4;6;8;6;6;9;12;14;7;8;15;32;127
Nigeria;7;9;9;8;20;10;9;19;9;12;17;21;150
Sudáfrica;47;78;124;132;71;101;81;64;90;71;111;115;1085
Otros África;31;29;29;34;34;26;55;77;51;44;35;81;526
ORIENTE MEDIO;29;30;29;11;34;40;49;44;22;24;54;120;486
Arabia Saudita;1;3;5;2;5;12;10;4;;3;5;13;63
Egipto;7;8;6;1;6;10;24;13;8;8;4;27;122
Emiratos Árabes Unidos;;2;3;;2;3;;5;;1;10;9;35
Jordania;1;5;3;;6;2;3;2;1;;15;11;49
Líbano;3;8;6;1;7;3;1;7;4;6;9;19;74
Otros Oriente Medio;17;4;6;7;8;10;11;13;9;6;11;41;143
