País;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Total
TOTAL;43728;40344;62017;58675;58891;74944;98114;81231;60435;67833;98337;137875;882424
AMÉRICA DEL NORTE;25975;25209;40840;38824;43703;57503;68265;49153;35445;39054;57608;83710;565289
Canadá;1824;809;1106;713;779;902;1214;1683;1704;2554;4079;7819;25186
Estados Unidos;22699;22906;37097;35878;40491;53581;62569;44352;30636;33180;50426;71383;505198
México;1452;1494;2637;2233;2433;3020;4482;3118;3105;3320;3103;4508;34905
AMÉRICA CENTRAL;2017;1760;2851;2337;2164;2920;3547;4096;4240;4716;5592;7051;43291
Belice;12;3;8;21;29;36;15;55;15;24;25;19;262
El Salvador;424;259;644;623;509;712;972;1237;1016;1237;1445;2059;11137
Guatemala;699;570;1193;781;717;1052;1154;1210;1560;1611;1945;2387;14879
Honduras;285;327;311;266;297;384;408;454;486;593;729;712;5252
Nicaragua;246;178;264;204;308;361;475;512;437;496;469;857;4807
Panamá;351;423;431;442;304;375;523;628;726;755;979;1017;6954
AMÉRICA DEL SUR;3402;3069;3775;2871;2797;4091;5191;5188;4853;5649;6659;8505;56050
Argentina;924;704;794;461;378;381;425;456;411;500;910;1499;7843
Bolivia;38;46;39;60;40;48;84;70;55;73;77;120;750
Brasil;533;406;548;540;708;1115;1328;1123;981;1163;1140;1366;10951
Chile;491;621;404;143;131;158;221;374;406;467;622;727;4765
Colombia;615;546;964;619;589;1128;1400;1498;1345;1691;1818;2110;14323
Ecuador;96;70;86;126;108;170;158;174;152;143;200;217;1700
Guyana;1;;2;2;5;5;8;6;7;5;14;5;60
Guyana Francesa;;;;1;;;;;;;;;1
Paraguay;20;14;19;29;13;12;29;11;25;28;49;45;294
Perú;243;178;305;277;290;393;590;606;620;645;712;760;5619
Surinam;;;;;;2;;2;;;1;2;7
Uruguay;53;37;71;59;76;82;217;217;134;194;258;336;1734
Venezuela;388;447;543;554;459;597;731;651;717;740;858;1318;8003
CARIBE;181;131;251;232;272;280;568;423;409;375;407;306;3835
Bahamas;2;7;7;7;28;18;61;19;18;31;10;13;221
Bermuda;1;6;4;2;3;;7;12;2;7;7;4;55
Cuba;33;38;53;50;68;67;98;93;68;38;52;35;693
Haití;52;5;10;8;20;20;26;30;26;22;24;27;270
Jamaica;21;7;34;27;19;31;115;48;78;41;39;32;492
Puerto Rico1;;;;;;;;;;;;;
República Dominicana;57;57;127;90;84;111;188;175;179;189;222;159;1638
Trinidad y Tobago;5;3;10;28;36;19;36;23;18;31;33;23;265
Otros Caribe;10;8;6;20;14;14;37;23;20;16;20;13;201
EUROPA;11613;9697;13527;13638;9226;9290;19434;21226;14523;17226;26724;36183;202307
Alemania;1407;1547;2397;2025;1377;1322;2364;2524;2221;2869;4709;5939;30701
Austria;159;168;232;210;145;127;408;373;241;273;406;673;3415
Bélgica;279;169;163;236;191;231;694;341;334;451;680;997;4766
Dinamarca;142;79;118;109;103;101;165;90;143;292;612;709;2663
Eslovaquia;85;97;130;72;39;53;71;56;71;31;102;199;1006
España;823;816;1841;1371;1603;2457;5347;8739;4215;3973;4134;3931;39250
Finlandia;20;23;32;20;19;21;27;23;32;31;64;167;479
Francia;3436;1610;1604;1672;1067;965;2178;2523;1391;2821;4069;5753;29089
Hungría;99;96;103;106;49;41;117;106;49;80;159;257;1262
Irlanda;81;55;55;62;63;50;62;64;71;89;136;283;1071
Israel;427;188;614;677;636;787;1315;1435;1904;569;825;1082;10459
Italia;442;490;569;497;424;452;680;832;436;571;898;1340;7631
