País;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;TOTAL
Bahamas;2903;2362;2489;2624;2672;2392;2647;2649;2543;2536;2636;2671;31124
Bermuda;2903;2362;2489;2624;2672;2392;2647;2649;2543;2536;2636;2671;31124
Cuba;2903;2362;2489;2624;2672;2392;2647;2649;2543;2536;2636;2671;31124
Haití;2903;2362;2489;2624;2672;2392;2647;2649;2543;2536;2636;2671;31124
Jamaica;2903;2362;2489;2624;2672;2392;2647;2649;2543;2536;2636;2671;31124
Puerto Rico1;0;1;1;0;1;1;1;2;0;0;0;0;7
RepúblicaDominicana;508;373;472;524;526;385;453;548;503;442;441;349;5524
Trinidad y Tobago;59;156;102;128;73;74;98;69;83;70;79;86;177
Otros;36;34;54;43;49;34;52;45;42;56;42;43;530
EUROPA;39421;42365;40522;31393;20148;19491;37348;34368;19263;22279;34639;39936;381173
Alemania;5136;6499;7450;4575;3159;2704;4935;4586;2990;3899;750;5748;58731
Austria;734;797;615;432;317;297;751;410;203;343;671;869;6439
Bélgica;964;886;1156;768;395;611;1733;769;606;566;829;933;10216
Dinamarca;906;874;618;261;141;215;558;201;147;251;432;681;5285
Eslovaquia;88;108;123;57;41;35;33;31;80;52;87;72;807
España;4118;3600;57;3747;3881;4286;6448;10713;4814;4379;4816;4420;60229
Finlandia;173;215;108;59;64;57;62;42;35;63;144;265;1287
Francia;7962;10679;7626;7625;2487;210;5383;4504;1643;3283;562;5980;64244
Hungría;194;166;125;82;50;50;53;48;64;96;128;154;1210
Irlanda;233;239;340;227;266;294;406;356;223;209;250;279;3322
Israel;1158;1272;1542;919;723;647;935;915;1223;484;666;839;11323
Italia;2513;2208;1783;1691;1335;1380;1595;2602;1265;1442;2136;2958;22908
Noruega;399;267;332;165;116;226;266;109;120;155;295;423;2873
Países Bajos;2610;2355;1814;2446;1356;1156;5198;2399;1535;1336;2149;2622;26976
Polonia;624;491;236;244;157;131;139;153;169;193;417;284;3238
Portugal;295;477;425;379;591;282;308;536;279;262;419;397;4650
Reino Unido;5295;5599;619;3662;2741;2806;4907;3876;1869;2421;4242;5175;48612
Republica Checa;285;319;309;238;98;104;130;84;98;171;336;375;2547
Rumanía;169;154;178;125;86;66;69;114;81;105;184;260;1591
Rusia;415;320;322;292;233;225;166;170;182;246;314;509;3394
Suecia;1451;1317;831;345;183;385;253;168;228;396;764;2644;8965
Suiza;2784;2679;2685;2387;1271;1104;2618;156;116;1512;2522;312;24646
Otros;915;844;878;667;457;420;402;526;393;415;726;137;7680
ASIA;347;378;370;502;364;339;419;339;126;183;424;688;4479
China;32;55;65;51;61;45;62;30;10;22;51;154;638
Filipinas;15;27;18;15;14;38;19;18;12;4;14;13;207
India;50;51;88;132;64;47;70;70;25;29;125;185;936
Japón;22;39;27;45;39;33;25;35;4;11;41;41;362
Rep. de Corea (Sur);29;31;15;26;26;17;13;32;7;6;14;27;243
Rep. Dem. Pop. Corea (Norte);;;;;;;;;;;;;0
Taiwan;7;6;5;5;16;6;;4;2;2;1;6;69
Australia;134;105;79;129;96;108;;106;39;71;115;153;1260
Nueva Zelanda;30;10;33;52;20;17;;16;12;21;18;38;300
Otros;28;54;40;47;28;28;;28;15;17;45;71;464
ÁFRICA;27;30;42;45;34;37;;20;15;18;40;41;379
Marruecos;5;4;4;3;1;1;2;1;;;;2;23
Nigeria;2;;1;4;6;1;3;;4;1;3;6;90
Sudáfrica;10;20;21;23;17;24;8;8;10;15;27;;193
Otros;10;6;16;15;10;11;17;11;1;2;10;;132
ORIENTE MEDIO;17;12;21;16;3;8;14;19;3;5;17;;155
Arabia Saudita;;1;;1;;1;3;1;;1;;4;12
Egipto;4;5;;2;1;4;1;1;;1;1;4;25
Emiratos Árabes Unidos;;;4;;;;;5;;;2;;11
Jordania;;;2;;;;;1;;2;10;;15
Líbano;;3;5;5;;2;1;3;1;1;2;4;27
Otros Medio Oriente;13;3;9;8;2;1;9;8;2;;2;8;65
