País;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;TOTAL
Gran Total;162727;172804;190135;142982;128558;149701;163176;138244;94243;103533;138951;175641;1760695
AMÉRICA DEL NORTE;89766;99573;117260;80376;77116;99124;92915;73175;46709;51515;72206;103085;1002820
Canadá;15326;16195;14663;8015;5175;3716;4694;4474;3261;3987;7372;13242;100120
Estados Unidos;67510;75945;93355;64637;64225;87286;78396;60925;36369;40567;57893;82768;809876
México;6930;7433;9242;7724;7716;8122;9825;7776;7079;6961;6941;7075;92824
AMÉRICA CENTRAL;11317;11923;11737;11974;12251;14020;13101;12700;11562;12332;13464;11358;147739
Belice;85;70;64;81;93;47;76;58;60;94;67;59;854
El Salvador;2881;2658;2847;3013;2820;2623;3378;3531;2927;3024;3746;2822;36270
Guatemala;3137;3465;3551;3365;3515;3457;3149;3178;3019;3410;3597;3226;40069
Honduras;1376;1563;1401;1371;1478;1434;1402;1444;1498;1664;1725;1417;17773
Nicaragua;1489;1522;1415;1617;1799;4089;2659;1861;1708;1709;1683;1561;23112
Panamá;2349;2645;2459;2527;2546;2370;2437;2628;2350;2431;2646;2273;29661
AMÉRICA DEL SUR;17051;14126;14647;14072;14033;12593;15060;13212;12779;13133;13421;14955;169082
Argentina;4401;3060;3536;2847;2444;2174;2656;2212;1962;1910;2371;3140;32713
Bolivia;195;146;148;146;199;164;173;180;143;162;170;169;1995
Brasil;1795;1646;1529;1874;1520;1412;2051;1451;1392;1426;1723;1740;19559
Chile;1390;1784;1078;1036;1048;1060;1480;1222;1386;1376;1157;1396;15413
Colombia;4267;3342;3799;3778;3784;3555;3903;3297;3348;3473;3365;3815;43726
Ecuador;582;427;534;456;581;400;512;495;489;503;497;455;5931
Guyana;18;12;8;8;20;29;9;18;13;8;9;12;164
Paraguay;67;61;98;60;83;72;91;55;112;86;34;68;887
Perú;1095;1022;1044;950;1339;1005;1185;1241;1070;1336;1099;1188;13574
Surinam;11;6;6;8;26;3;7;3;6;4;12;4;96
Uruguay;327;258;378;285;317;327;346;389;315;313;348;297;3900
Venezuela;2903;2362;2489;2624;2672;2392;2647;2649;2543;2536;2636;2671;31124
CARIBE;2903;2362;2489;2624;2672;2392;2647;2649;2543;2536;2636;2671;31124
