País;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Total
TOTAL;80851;79941;37826;91;42;83;31;39;262;1421;9035;19106;29894
AMÉRICA DEL NORTE;75495;74600;35482;91;41;80;31;38;251;1367;8683;18309;28679
Canadá;23022;21943;9019;0;1;0;0;0;47;140;632;1935;2754
Estados Unidos;52335;52544;26394;91;40;80;31;38;197;1221;8028;16322;25837
México;138;113;69;0;0;0;0;0;7;6;23;52;88
AMÉRICA CENTRAL;119;91;37;0;0;3;0;1;0;8;24;78;111
Belice;2;0;0;;;;;0;0;0;0;0;0
El Salvador;12;6;8;0;0;0;0;0;0;0;3;3;6
Guatemala;10;18;5;0;0;3;0;0;0;2;0;3;5
Honduras;3;4;0;0;0;0;0;1;0;0;3;3;7
Nicaragua;51;38;20;0;0;0;0;0;0;6;18;68;92
Panamá;41;25;4;0;0;0;0;0;0;0;0;1;1
AMÉRICA DEL SUR;412;333;140;0;0;0;0;0;0;7;59;58;124
Argentina;85;49;29;0;0;0;0;0;0;1;5;4;10
Bolivia;4;0;5;0;;;0;0;0;0;1;0;1
Brasil;110;99;41;0;0;0;0;0;0;1;13;18;32
Chile;101;68;11;0;0;0;0;0;0;1;4;6;11
Colombia;53;50;21;0;0;0;0;0;0;1;11;18;30
Ecuador;8;5;2;0;0;0;0;0;0;1;4;1;6
Guyana;3;2;1;;;;;0;0;0;0;0;0
Paraguay;0;9;0;;;;;0;0;0;1;0;1
Perú;22;18;7;0;0;0;0;0;0;0;10;2;12
Surinam;1;0;0;;;;;0;0;0;0;0;0
Uruguay;2;16;3;0;0;0;;0;0;0;1;0;1
Venezuela;23;17;20;0;0;0;0;0;0;2;9;9;20
CARIBE;36;34;19;0;0;0;0;0;0;0;7;25;32
Bahamas;0;6;0;;;;;0;0;0;0;2;2
Bermuda;2;2;1;0;;;;0;0;0;0;0;0
Cuba;5;2;2;0;;0;0;0;0;0;2;4;6
Haití;5;0;0;;;;;0;0;0;1;7;8
Jamaica;4;4;2;;0;0;;0;0;0;1;7;8
Puerto Rico^{1};;;;;;;;;;;;;0
República Dominicana;12;13;10;0;0;;0;0;0;0;1;3;4
Trinidad y Tobago;3;5;2;;0;;;0;0;0;1;1;2
Otros Caribe;5;2;2;0;0;0;0;0;0;0;1;1;2
EUROPA;4325;4398;1924;0;1;0;0;0;5;29;209;482;725
Alemania;282;471;144;0;0;0;0;0;0;3;16;39;58
Austria;33;53;16;0;;0;0;0;0;0;1;2;3
Bélgica;208;107;48;;0;;0;0;1;1;8;17;27
Dinamarca;75;72;18;0;;0;0;0;0;0;0;3;3
Eslovaquia;27;8;1;;;;;;;0;2;3;5
España;113;93;48;0;1;0;0;0;0;2;9;16;27
Finlandia;30;15;6;;;;;0;0;0;1;0;1
Francia;477;736;181;0;0;0;0;0;0;2;51;100;153
Hungría;30;9;5;;;;;0;0;0;2;3;5
Irlanda;46;58;19;;;0;0;0;0;0;1;10;11
Israel;90;74;34;;0;0;0;0;1;1;12;35;49
Italia;309;233;45;0;0;0;0;0;2;0;7;18;27
Noruega;30;17;9;;;;;0;0;0;1;1;2
Países Bajos;308;299;147;;0;0;0;0;;2;16;10;28
Polonia;69;58;22;;0;0;;0;0;1;6;10;17
Portugal;41;28;15;;;0;;0;0;0;3;6;9
Reino Unido;1673;1609;1004;0;0;0;0;0;;9;40;99;148
Republica Checa;37;22;15;;0;0;;0;0;0;0;6;6
Rumanía;32;13;6;0;;;;0;0;0;4;7;11
Rusia;67;39;14;;;;0;0;0;0;4;24;28
Suecia;109;187;23;0;0;;;0;0;1;6;5;12
Suiza;77;79;36;0;0;0;0;0;1;2;7;10;20
Otros Europa;162;118;68;0;0;0;0;0;0;5;12;58;75
ASIA Y EL PACÍFICO;408;437;185;0;0;0;0;0;3;8;42;129;182
China;60;38;30;0;0;;;0;1;0;4;19;24
Filipinas;20;14;9;;0;0;;0;1;0;0;7;8
India;84;112;27;0;0;0;;0;1;2;3;22;28
Japón;39;41;17;0;0;;0;0;0;1;3;7;11
Rep. de Corea (Sur);24;20;9;;;0;;0;0;0;6;8;14
Rep. Dem. Pop. Corea (Norte);0;0;;;;;;;;;;;0
Taiwan;6;5;6;;0;;;0;0;0;4;0;4
Australia;112;128;61;0;0;0;;0;0;1;16;42;59
Nueva Zelanda;27;38;13;;;;;0;0;3;3;2;8
Otros Asia y El Pacífico;36;41;13;0;0;0;0;0;0;1;3;22;26
ÁFRICA;43;29;26;0;0;0;0;0;0;2;6;22;30
Marruecos;5;3;4;;;0;;0;0;0;0;1;1
Nigeria;5;3;4;;;;;0;0;0;1;1;2
Sudáfrica;18;13;10;;;0;0;0;0;2;4;11;17
Otros África;15;10;8;0;0;0;0;0;0;0;1;9;10
ORIENTE MEDIO;13;19;13;0;0;0;0;0;3;0;5;3;11
Arabia Saudita;5;5;1;;;;;0;0;0;0;0;0
Egipto;4;7;4;;;;;0;0;0;1;2;3
Emiratos Árabes Unidos;0;0;1;;;0;;0;0;0;0;0;0
Jordania;1;2;0;;;;;0;0;0;2;0;2
Líbano;2;4;5;;;;;0;0;0;0;1;1
Otros Oriente Medio;1;1;2;0;0;0;0;0;3;0;2;0;5
