País;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;Total
TOTAL;16891;14401;26374;27169;31430;42583;48801;32996;17163;23459;42761;64026;388054
AMÉRICA DEL NORTE;15975;13875;25550;26369;30520;41588;47304;31754;16661;22743;40725;59446;372510
Canadá;2125;248;304;370;386;346;517;618;446;1982;6487;10902;24731
Estados Unidos;13824;13605;25178;25944;30061;41169;46656;31055;16168;20714;34152;48455;346981
México;26;22;68;55;73;73;131;81;47;47;86;89;798
AMÉRICA CENTRAL;21;15;44;38;63;66;77;43;55;48;47;165;682
Belice;1;;;;;;2;;1;;;1;5
El Salvador;2;1;16;7;6;16;11;9;4;7;22;19;120
Guatemala;;8;12;4;12;10;5;11;10;15;6;26;119
Honduras;5;1;5;7;7;17;30;2;22;9;6;11;122
Nicaragua;13;5;11;16;36;22;27;20;17;16;11;104;298
Panamá;;;;4;2;1;2;1;1;1;2;4;18
AMÉRICA DEL SUR;58;57;95;111;134;220;241;161;86;97;152;201;1613
Argentina;12;10;5;20;18;30;30;22;5;12;21;30;215
Bolivia;5;;;1;2;;3;2;2;;3;5;23
Brasil;13;18;49;27;52;113;87;39;22;28;32;72;552
Chile;5;7;7;11;4;7;15;17;10;7;31;12;133
Colombia;13;8;16;24;27;24;41;30;22;20;27;35;287
Ecuador;2;2;5;5;4;9;6;4;7;3;9;6;62
Guyana;;;;3;2;5;6;6;2;4;2;2;32
Guyana Francesa;;;;;;;;;;;;;
Paraguay;;;2;;1;;;;;1;;1;5
Perú;4;5;4;10;16;12;35;29;11;17;6;18;167
Surinam;;;;;;;1;;;;;;1
Uruguay;;1;2;;1;5;6;2;1;2;6;4;30
Venezuela;4;6;5;10;7;15;11;10;4;3;15;16;106
CARIBE;17;12;26;36;70;59;60;83;39;52;42;22;518
Bahamas;;;2;4;1;1;5;6;1;1;2;;23
Bermuda;;;1;3;;;;;;;2;;6
Cuba;5;;6;1;2;1;5;5;2;3;3;3;36
Haití;3;;4;4;3;10;9;9;1;15;4;5;67
Jamaica;2;2;4;8;25;12;11;19;10;7;6;6;112
Puerto Rico^{1};;;;;;;;;;;;;
República Dominicana;2;6;2;9;26;13;17;27;10;12;9;5;138
Trinidad y Tobago;4;2;4;3;10;16;5;9;7;10;10;;80
Otros Caribe;1;2;3;4;3;6;8;8;8;4;6;3;56
EUROPA;721;382;500;473;445;424;864;743;224;374;1515;3666;10331
Alemania;56;20;50;41;41;56;112;102;15;50;138;357;1038
Austria;8;3;2;4;4;2;17;8;1;7;16;44;116
Bélgica;39;10;10;10;6;9;64;16;4;7;52;79;306
Dinamarca;8;10;9;3;5;9;8;4;1;9;37;58;161
Eslovaquia;7;1;2;;1;;5;6;2;1;6;15;46
España;22;12;23;39;27;30;38;51;5;12;42;67;368
Finlandia;3;4;2;3;;3;;3;2;1;5;28;54
Francia;130;76;45;58;41;33;73;78;13;35;190;268;1040
Hungría;7;6;5;4;1;;4;3;1;2;12;13;58
Irlanda;7;7;19;16;17;11;14;16;5;15;27;54;208
Israel;34;27;44;31;26;25;40;34;58;24;43;100;486
Italia;34;14;26;25;30;30;44;42;4;15;112;170;546
Noruega;3;;2;2;4;2;9;4;2;3;16;33;80
Países Bajos;58;10;13;16;12;18;103;72;8;21;106;224;661
Polonia;20;10;7;8;8;7;32;30;10;14;39;87;272
Portugal;4;1;1;7;1;16;7;21;2;5;20;14;99
Reino Unido;94;67;136;116;104;89;149;121;49;96;398;1427;2846
Republica Checa;30;3;7;;5;;20;5;3;1;13;57;144
Rumanía;8;1;;2;2;3;2;5;5;5;7;24;64
Rusia;15;21;23;18;52;29;20;34;8;8;33;86;347
Suecia;21;10;13;6;8;4;9;20;5;12;35;113;256
Suiza;37;28;23;5;12;11;16;32;3;10;72;192;441
Otros Europa;76;41;38;59;38;37;78;36;18;21;96;156;694
ASIA Y EL PACÍFICO;80;54;135;115;165;196;212;176;70;109;252;456;2020
China;4;3;6;5;11;12;12;12;2;5;50;40;162
Filipinas;6;3;11;6;9;12;22;4;7;6;15;20;121
India;10;3;26;30;40;47;63;56;16;15;54;148;508
Japón;9;3;7;10;11;13;10;16;5;6;27;31;148
Rep. de Corea (Sur);1;4;12;9;10;10;15;9;5;8;20;19;122
Rep. Dem. Pop. Corea (Norte);;;;;;;;;;;;;
Taiwan;2;1;4;3;1;2;3;4;;1;1;5;27
Australia;31;30;43;39;45;45;44;45;16;40;48;95;521
Nueva Zelanda;5;5;4;3;12;9;4;7;4;8;11;30;102
Otros Asia y El Pacífico;12;2;22;10;26;46;39;23;15;20;26;68;309
ÁFRICA;15;5;16;21;24;25;35;30;24;32;22;50;299
Marruecos;;1;3;6;1;;;;1;;1;7;20
Nigeria;1;;1;2;1;9;10;7;6;4;5;3;49
Sudáfrica;11;4;9;6;11;9;15;16;11;14;14;29;149
Otros África;3;;3;7;11;7;10;7;6;14;2;11;81
ORIENTE MEDIO;4;1;8;6;9;5;8;6;4;4;6;20;81
Arabia Saudita;1;;1;;1;;;;1;1;5;3;13
Egipto;1;;2;1;;;3;2;;;;2;11
Emiratos Árabes Unidos;;;;;1;;;;;;;;1
Jordania;1;;;1;1;2;1;;;1;;3;10
Líbano;;;4;2;3;;3;3;3;2;;5;25
Otros Oriente Medio;1;1;1;2;3;3;1;1;;;1;7;21
