País;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;TOTAL
Gran Total;111384;67092;74609;59572;56242;58323;69971;61281;55341;56441;56417;73151;799824
AMÉRICA DEL NORTE;8709;8512;8521;6798;5996;7178;7735;6956;4815;5491;5565;6798;83074
Canadá;2586;2859;2114;1639;1215;1000;979;1064;667;844;1352;1647;17966
Estados Unidos;5655;5279;5756;4720;4420;5756;6047;5426;3685;4191;3815;4723;59473
México;468;374;651;439;361;422;709;466;463;456;398;428;5635
AMÉRICA CENTRAL;87941;45672;53419;43354;42050;44053;52140;42851;42317;42433;40491;55744;592465
Belice;10;6;13;7;22;10;41;13;11;8;10;16;167
El Salvador;4319;3314;4590;3512;3855;3355;4584;4014;3273;3265;3397;4617;46095
Guatemala;2316;1984;2057;1951;2151;2049;2249;2047;1917;2045;2250;2379;25395
Honduras;2996;1815;2473;1833;1869;1878;2748;2099;1959;2045;2058;2179;25952
Nicaragua;67847;32858;39754;31997;30542;32172;38144;30192;29247;29454;25777;37043;425027
Panamá;10453;5695;4532;4054;3611;4589;4374;4486;5910;5616;6999;9510;69829
AMÉRICA DEL SUR;4754;3174;3361;2396;2138;1921;2642;2654;2725;2877;3286;3432;35360
Argentina;2072;734;853;564;414;368;454;381;383;327;299;406;7255
Bolivia;38;19;28;24;22;8;16;18;27;17;8;27;252
Brasil;145;147;128;134;152;118;140;174;150;105;146;162;1701
Chile;503;460;230;96;116;92;140;144;135;111;107;123;2257
Colombia;414;281;310;183;200;220;278;250;206;208;211;348;3109
Ecuador;39;26;82;75;33;23;22;36;24;22;21;33;436
Guyana;3;;8;1;2;2;1;2;1;1;1;4;26
Paraguay;5;6;4;7;8;5;9;6;8;8;8;11;85
Perú;130;114;161;114;85;93;141;129;136;95;83;94;1375
Surinam;;;;;2;;1;;;;1;;4
Uruguay;75;42;35;23;35;33;44;38;31;24;20;25;425
Venezuela;1330;1345;1522;1175;1069;959;1396;1476;1624;1959;2381;2199;18435
CARIBE;54;53;69;40;38;40;92;65;39;44;39;43;616
Bahamas;2;1;1;;1;2;5;2;;2;;1;17
Bermuda;3;1;3;1;;1;3;5;1;3;3;1;25
Cuba;15;21;20;10;10;14;20;8;11;10;10;12;161
Haití;2;4;3;2;3;2;12;4;;1;1;3;37
Jamaica;3;1;1;2;3;7;12;12;6;7;2;3;59
Puerto Rico1;;;;;;;;;;;;;
RepúblicaDominicana;22;18;34;19;16;10;35;22;17;17;16;15;241
Trinidad y Tobago;2;1;2;5;3;2;3;7;4;4;2;3;38
Otros;5;6;5;1;2;2;2;5;;;5;5;38
EUROPA;8639;8694;8459;6343;5235;4403;6581;8054;4713;4781;6289;6133;78324
Alemania;1810;1811;2430;1371;1027;702;1115;1253;1039;952;1557;1231;16298
Austria;223;265;132;106;83;50;167;212;97;93;183;114;1725
Bélgica;147;166;175;157;113;73;162;114;102;95;104;154;1562
Dinamarca;204;245;120;117;86;64;176;88;29;53;45;85;1312
Eslovaquia;34;41;42;15;14;14;6;5;16;25;83;31;326
España;720;670;785;637;504;495;846;1604;861;632;641;719;9114
Finlandia;149;98;73;35;30;27;22;22;12;20;39;105;632
Francia;832;1020;899;713;529;447;604;743;296;400;494;682;7659
Hungría;18;46;15;20;12;16;12;2;7;23;20;16;207
Irlanda;91;115;88;88;70;95;169;181;86;97;89;93;1262
Israel;313;324;318;270;394;280;219;271;167;256;126;157;3095
Italia;819;725;560;419;341;281;334;745;335;320;352;458;5689
Noruega;119;91;176;104;54;29;61;32;23;51;74;49;863
Países Bajos;625;662;534;410;402;279;712;723;240;341;422;340;5690
Polonia;119;172;80;107;102;53;61;57;46;61;145;107;1110
Portugal;83;56;64;38;46;40;71;94;29;33;45;61;660
Reino Unido;1052;912;893;946;815;991;1118;1471;819;786;1091;918;11812
Republica Checa;38;108;84;79;49;15;22;18;27;48;106;41;635
Rumanía;27;38;21;7;19;15;16;12;115;35;37;35;377
Rusia;109;60;74;51;61;62;61;17;44;71;73;70;753
Suecia;409;337;294;183;141;78;121;58;94;85;133;206;2139
Suiza;483;494;432;370;254;216;368;246;169;217;275;346;3870
Otros;215;238;170;100;89;81;138;86;60;87;155;115;1534
ASIA;359;343;307;205;221;194;233;182;195;248;255;288;3030
China;57;62;53;41;58;72;60;38;23;55;41;52;612
Filipinas;7;13;13;16;21;12;18;16;27;12;21;11;187
India;30;76;24;25;20;24;23;25;41;28;33;33;382
Japón;94;101;68;53;45;26;42;37;39;51;70;71;697
Rep. de Corea (Sur);100;51;69;41;44;33;45;35;35;37;42;48;580
Rep. Dem. Pop. Corea (Norte);;;;;;;;;;;;;
Taiwan;44;31;58;13;24;12;29;15;15;51;35;58;385
Otros;27;9;22;16;9;15;16;16;15;14;13;15;187
ÁFRICA;59;42;50;22;50;52;60;42;44;31;33;56;541
Arabia Saudita;3;1;;;2;;1;1;;;;1;9
Líbano;;;;;1;1;6;3;1;;2;;14
Marruecos;1;3;2;5;2;4;6;9;3;1;1;6;43
Nigeria;2;3;2;3;9;6;2;2;2;1;1;2;35
Sudáfrica;19;17;28;8;20;27;33;15;26;16;14;30;253
Otros;34;18;18;6;16;14;12;12;12;13;15;17;187
OCEANÍA;869;602;423;414;514;482;488;477;493;536;459;657;6414
Australia;768;543;362;336;433;381;374;390;411;431;374;550;5353
Nueva Zelanda;100;59;61;78;81;101;114;87;82;105;85;107;1060
Otros;1;;;;;;;;;;;;1
