País;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;TOTAL
Gran Total;62230;60896;70790;53810;33903;39711;44029;29161;17572;20593;35489;57477;525661
AMÉRICA DEL NORTE;57050;56037;66509;49269;30574;36779;40085;26018;15427;18252;32381;52724;481105
Canadá;15529;15174;12666;7712;2863;2106;3316;2479;1734;2544;7922;12891;86936
Estados Unidos;41433;40725;53712;41341;27587;34560;36597;23409;13597;15644;24388;39715;392708
México;88;138;131;216;124;113;172;130;96;64;71;118;1461
AMÉRICA CENTRAL;200;132;175;234;158;202;140;97;86;63;105;117;1709
Belice;3;2;1;7;4;4;1;;2;;;;24
El Salvador;65;25;25;67;58;62;50;40;26;4;10;16;448
Guatemala;56;19;74;59;40;71;24;11;23;8;25;24;434
Honduras;15;4;15;28;12;15;18;7;5;;3;4;126
Nicaragua;36;38;29;24;12;16;10;13;5;20;25;30;258
Panamá;25;44;31;49;32;34;37;26;25;31;42;43;419
AMÉRICA DEL SUR;525;440;353;424;322;384;531;269;203;160;205;334;4150
Argentina;160;45;59;127;90;48;69;28;37;34;55;66;818
Bolivia;10;1;3;3;5;8;8;1;1;;;13;53
Brasil;101;122;63;102;56;58;87;36;33;23;60;121;862
Chile;125;187;58;44;48;74;124;78;49;49;26;31;893
Colombia;60;28;107;56;49;60;150;44;30;22;28;41;675
Ecuador;6;4;4;21;19;5;5;24;2;2;3;4;99
Guyana;1;2;1;1;5;7;12;3;6;2;2;;42
Paraguay;2;1;1;3;1;3;5;;;;1;1;18
Perú;18;17;35;22;21;74;25;29;5;14;13;24;297
Surinam;;;1;;;;;;;;;;1
Uruguay;18;13;6;10;8;29;19;3;;2;10;2;120
Venezuela;24;20;15;35;20;18;27;23;40;12;7;31;272
CARIBE;;;;;;66;63;57;30;36;23;32;307
Bahamas;1;2;1;6;1;4;8;5;;2;3;3;36
Bermuda;8;2;2;4;4;7;6;10;;3;2;6;54
Cuba;2;4;10;2;5;10;7;8;1;;5;1;55
Haití;3;5;1;3;4;;2;8;1;3;1;;31
Jamaica;9;6;15;14;13;11;17;9;2;6;2;4;108
Puerto Rico1;;;;;;;;;;;;;0
RepúblicaDominicana;17;9;20;18;22;21;13;8;16;13;5;13;175
Trinidad y Tobago;8;8;3;8;14;4;5;8;8;2;2;1;71
Otros;9;8;5;4;8;9;5;1;2;7;3;4;65
EUROPA;3997;3880;3226;3351;2357;2001;2836;2448;1675;1864;2483;3650;33768
Alemania;368;485;448;302;110;60;158;84;52;68;87;296;2518
Austria;44;47;34;15;14;6;14;16;6;5;15;23;239
Bélgica;74;106;86;114;32;10;79;23;22;17;35;88;686
Dinamarca;38;59;28;36;11;22;24;11;5;5;13;41;293
Eslovaquia;29;16;10;23;5;;10;18;4;14;20;14;163
España;104;95;79;111;65;81;146;127;44;39;56;86;1033
Finlandia;22;5;10;16;3;10;5;1;2;3;6;26;109
Francia;265;533;287;355;81;77;173;120;41;81;85;246;2344
Hungría;18;13;12;15;2;3;2;7;3;15;3;13;106
Irlanda;59;35;42;47;23;27;77;32;16;34;24;49;465
Israel;57;47;50;124;39;24;66;25;14;26;27;216;715
Italia;363;193;174;160;61;67;158;111;36;75;73;232;1703
Noruega;27;38;25;29;8;15;21;12;12;7;8;44;246
Países Bajos;145;133;88;74;45;52;154;32;34;25;44;114;940
Polonia;65;57;41;44;45;24;33;30;31;41;60;38;509
Portugal;15;30;26;38;10;7;10;17;15;11;13;32;224
Reino Unido;1798;1565;1486;1531;1639;1378;1540;1663;1210;1276;1644;1644;18374
Republica Checa;44;65;40;29;8;8;16;20;20;18;58;35;361
Rumanía;7;9;7;21;15;7;5;7;10;11;21;15;135
Rusia;74;45;52;50;14;13;25;18;16;16;19;77;419
Suecia;152;81;56;41;34;23;25;10;13;10;23;93;561
Suiza;86;103;57;81;31;20;59;24;19;12;51;77;620
Otros;143;120;88;95;62;67;36;40;50;55;98;151;1005
ASIA;205;188;278;249;268;142;203;124;78;95;159;420;2409
China;58;31;66;53;42;27;40;25;20;16;26;97;501
Filipinas;13;15;10;16;24;16;18;7;8;12;12;18;169
India;41;54;91;85;65;52;92;52;17;21;59;165;794
Japón;29;39;39;28;56;15;23;15;9;8;24;40;325
Rep. de Corea (Sur);34;14;21;24;31;9;12;8;9;23;9;32;226
Rep. Dem. Pop. Corea (Norte);;;;;;;;;;;;;0
Taiwan;1;6;10;7;4;4;5;1;3;3;2;9;55
Otros;29;29;41;36;46;19;13;16;12;12;27;59;339
ÁFRICA;52;52;43;64;54;41;34;38;15;13;27;46;479
Arabia Saudita;1;2;1;;;;4;2;1;;1;;12
Líbano;6;5;3;14;;3;1;2;1;;4;3;42
Marruecos;4;6;1;9;2;;;3;;;;5;30
Nigeria;3;4;1;4;12;5;2;1;1;;3;3;39
Sudáfrica;13;19;19;13;14;20;15;10;7;9;11;20;170
Otros;25;16;18;24;26;13;12;20;5;4;8;15;186
OCEANÍA;147;129;149;172;109;96;137;110;58;110;106;154;1477
Australia;124;118;128;148;95;71;88;92;52;92;89;121;1218
Nueva Zelanda;22;11;21;24;14;25;48;18;6;18;17;33;257
Otros;1;;;;;;1;;;;;;2
