País;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;TOTAL
Gran Total;110074;66663;58910;70014;53234;56361;64259;57402;53862;45935;55027;68574;760315
AMÉRICA DEL NORTE;9299;8493;9188;7234;5842;6248;7134;5866;4520;4414;6043;6398;80679
Canadá;3008;3133;2688;1655;1104;824;865;838;678;694;1484;1738;18709
Estados Unidos;5830;5001;6111;4975;4309;5004;5672;4546;3450;3357;4164;4233;56652
México;461;359;389;604;429;420;597;482;392;363;395;427;5318
AMÉRICA CENTRAL;;;;;;43851;48294;41585;42607;35724;40419;53988;306468
Belice;6;4;15;7;7;7;7;22;5;5;12;34;131
El Salvador;3922;3382;3318;3893;3536;3365;4178;3877;3205;2900;3243;4695;43514
Guatemala;2130;1918;2155;2012;2191;2178;2172;2158;2104;2100;2242;2368;25728
Honduras;3165;1849;1765;2382;1773;1785;2282;2216;1765;1917;1611;2099;24609
Nicaragua;67005;31076;27640;40662;29430;31254;35067;29293;29372;24003;26389;37493;408684
Panamá;9785;6426;3737;4589;3545;5262;4588;4019;6156;4799;6922;7299;67127
AMÉRICA DEL SUR;5166;4495;2012;1546;1315;1275;1658;1419;1432;963;925;1238;23444
Argentina;1536;771;662;505;445;393;456;393;343;304;297;360;6465
Bolivia;24;10;10;13;12;14;29;15;10;13;22;6;178
Brasil;227;184;140;135;111;141;143;121;121;128;96;141;1688
Chile;328;447;189;117;100;102;130;121;75;96;95;97;1897
Colombia;344;220;211;265;171;183;258;197;193;178;180;298;2698
Ecuador;15;35;18;26;19;16;18;31;23;27;20;37;285
Guyana;10;2;13;25;;2;5;3;;1;1;2;64
Paraguay;10;8;2;11;3;3;19;6;4;2;4;7;79
Perú;137;129;130;86;80;58;125;78;92;63;61;92;1131
Surinam;;;;;;;1;;1;;;1;3
Uruguay;68;27;52;38;36;33;46;32;42;16;33;28;451
Venezuela;2467;2662;585;325;338;330;428;422;528;135;116;169;8505
CARIBE;43;;;;;29;57;38;31;31;32;40;301
Bahamas;;;;;;;4;3;;;;2;9
Bermuda;2;2;2;4;10;1;3;;1;6;2;;33
Cuba;1;15;4;6;6;6;10;9;4;3;4;13;81
Haití;1;1;1;1;1;;4;1;;3;;1;14
Jamaica;2;1;7;3;4;3;7;4;1;6;1;4;43
Puerto Rico1;;;;;;;;;;;;;0
RepúblicaDominicana;29;18;13;27;13;13;21;13;14;12;20;13;206
Trinidad y Tobago;6;3;1;6;5;4;3;6;9;;2;6;51
Otros;2;2;2;1;9;2;5;2;2;1;3;1;32
EUROPA;8471;8250;8374;6988;4906;4272;6436;7850;4612;4200;6685;6061;77105
Alemania;1633;1799;2320;1639;911;768;980;1224;1012;920;1561;1210;15977
Austria;224;246;202;116;87;71;144;162;91;79;126;116;1664
Bélgica;183;202;236;181;106;112;186;116;170;99;120;181;1892
Dinamarca;191;180;120;146;70;46;130;42;30;49;71;90;1165
Eslovaquia;27;30;34;51;16;14;21;23;13;16;47;22;314
España;675;589;592;659;437;346;790;1726;739;553;626;573;8305
Finlandia;103;94;58;34;14;13;28;14;18;30;44;76;526
Francia;915;939;978;777;523;425;581;737;346;329;661;708;7919
Hungría;31;60;48;29;7;24;12;8;12;17;38;16;302
Irlanda;96;70;73;78;86;118;166;187;63;45;84;56;1122
Israel;249;227;215;297;318;246;235;220;166;154;176;157;2660
Italia;667;654;565;432;340;272;353;606;346;229;407;394;5265
Noruega;103;95;86;111;41;37;42;31;16;38;77;87;764
Países Bajos;683;514;466;415;298;290;793;689;322;290;508;445;5713
Polonia;145;189;123;115;61;57;58;66;58;94;238;90;1294
Portugal;55;62;71;56;35;28;55;55;57;31;73;87;665
Reino Unido;1111;1098;1114;1025;974;919;1276;1347;771;690;878;809;12012
Republica Checa;122;110;116;53;48;23;20;59;44;24;78;55;752
Rumanía;53;46;17;29;8;20;16;27;14;13;55;21;319
Rusia;124;88;121;103;85;66;37;70;31;62;117;86;990
Suecia;279;287;263;160;80;61;64;26;47;108;129;213;1717
Suiza;504;394;385;335;258;238;336;278;170;236;401;355;3890
Otros;298;277;171;147;103;78;113;137;76;94;170;214;1878
ASIA;283;272;267;265;189;235;211;196;262;175;388;356;3099
China;37;48;41;43;38;45;65;42;59;31;60;58;567
Filipinas;23;24;28;24;11;37;9;24;15;12;15;8;230
India;23;23;13;17;18;14;26;19;17;11;24;38;243
Japón;103;84;58;59;51;32;25;27;43;27;65;74;648
Rep. de Corea (Sur);56;51;49;64;37;37;40;35;46;21;33;70;539
Rep. Dem. Pop. Corea (Norte);;;;;;;;;;;;;0
Taiwan;21;34;62;30;28;58;32;33;72;61;180;96;707
Otros;20;8;16;28;6;12;14;16;10;12;11;12;165
ÁFRICA;47;44;49;42;42;30;35;41;24;17;34;32;437
Arabia Saudita;1;1;;;;;1;2;;;;1;6
Líbano;1;1;2;;;;;;;;1;;5
Marruecos;8;3;2;;2;1;4;3;1;4;5;1;34
Nigeria;1;1;2;;;1;1;;1;;2;2;11
Sudáfrica;27;22;21;22;29;18;16;21;14;10;15;12;227
Otros;9;16;22;20;11;10;13;15;8;3;11;16;154
OCEANÍA;754;413;377;372;403;421;434;407;374;411;501;461;5328
Australia;623;369;321;306;319;346;337;304;294;324;426;363;4332
Nueva Zelanda;130;44;55;66;84;75;97;103;80;87;75;98;994
Otros;1;;1;;;;;;;;;;2
