País;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;TOTAL
TOTAL;103300;60293;58583;62326;46415;51608;56075;50870;47983;49213;53909;68559;709134
AMÉRICA DEL NORTE;9496;6808;6617;5598;4253;4281;5492;4842;4037;4437;4976;5860;66697
Canadá;2318;2384;1853;1379;852;591;631;694;716;766;1279;1674;15137
Estados Unidos;4907;4005;4398;3865;3073;3392;4430;3725;3035;3346;3339;3819;45334
México;2271;419;366;354;328;298;431;423;286;325;358;367;6226
AMÉRICA CENTRAL;79407;44439;43279;49053;36621;42299;44273;39010;38678;39734;42092;55234;554119
Belice;6;5;9;12;10;17;28;13;6;6;15;11;138
El Salvador;5145;3186;3471;4034;2850;3184;3507;3575;2809;3145;3176;4908;42990
Guatemala;3084;2071;2282;2146;1914;2299;2064;2015;1923;2112;2100;2368;26378
Honduras;3779;1458;1543;1961;1501;1681;2064;1557;1705;2239;1868;3044;24400
Nicaragua;60806;32749;30917;37065;27268;30803;32920;27795;26794;26804;26335;36381;396637
Panamá;6587;4970;5057;3835;3078;4315;3690;4055;5441;5428;8598;8522;63576
AMÉRICA DEL SUR;5683;2402;2099;1809;1346;1214;1297;1132;1117;1089;1198;1363;21749
Argentina;1703;953;935;690;526;445;397;371;337;332;300;327;7316
Bolivia;179;20;13;25;14;12;19;13;11;11;11;9;337
Brasil;1499;223;168;158;115;134;126;107;119;86;150;137;3022
Chile;724;476;416;189;142;94;167;122;143;106;149;111;2839
Colombia;373;195;182;271;188;156;208;163;157;159;170;313;2535
Ecuador;233;32;28;41;24;18;22;33;18;16;24;19;508
Guyana;2;37;1;2;2;1;;1;1;;4;3;54
Paraguay;159;81;1;7;7;6;6;2;2;4;7;11;293
Perú;357;99;97;125;89;88;82;88;87;70;100;100;1382
Surinam;;;;;;;;;;;;;
Uruguay;212;69;19;36;40;18;48;32;28;24;25;13;564
Venezuela;242;217;239;265;199;242;222;200;214;281;258;320;2899
CARIBE;79;32;42;41;26;35;44;47;36;58;93;96;629
Bahamas;;;5;2;1;1;1;1;1;2;;2;16
Bermuda;2;2;1;;;1;;;;;;1;7
Cuba;9;3;6;10;7;14;9;6;5;19;79;63;230
Haití;1;2;3;1;;;5;2;;1;2;1;18
Jamaica;4;1;3;2;3;5;4;9;1;6;1;4;43
Puerto Rico1;;;;;;;;;;;;;
República Dominicana;57;19;21;18;14;12;19;21;21;23;5;16;246
Trinidad y Tobago;4;3;1;8;;;4;5;6;5;1;7;44
Otros Caribe;2;2;2;;1;2;2;3;2;2;5;2;25
EUROPA;7616;6091;5968;5281;3733;3314;4415;5372;3631;3403;5015;5285;59124
Alemania;1529;1499;1634;1189;700;552;762;891;797;703;1308;1158;12722
Austria;212;172;126;90;78;51;94;122;55;71;96;118;1285
Bélgica;114;112;119;131;66;69;134;81;79;80;115;106;1206
Dinamarca;111;141;100;85;50;24;56;76;23;26;82;65;839
Eslovaquia;60;34;36;24;15;12;17;30;8;11;21;25;293
España;668;453;454;575;332;391;625;1299;661;464;487;515;6924
Finlandia;80;54;33;28;17;21;13;5;10;9;30;35;335
Francia;705;671;677;611;423;346;505;479;320;390;510;573;6210
Hungría;60;46;33;14;12;18;21;13;14;12;37;25;305
Irlanda;53;51;59;59;56;54;77;97;41;23;40;59;669
Israel;158;186;208;275;351;374;280;226;173;176;96;112;2615
Italia;931;517;388;366;266;249;276;531;250;246;289;402;4711
Noruega;98;65;67;46;39;30;39;27;26;41;51;54;583
Países Bajos;418;368;332;325;233;196;497;442;254;261;364;383;4073
Polonia;608;242;140;126;59;46;61;25;71;54;108;139;1679
Portugal;157;41;63;66;50;42;26;73;36;50;39;64;707
Reino Unido;489;521;567;577;517;461;449;528;483;370;582;452;5996
Republica Checa;79;148;105;47;23;21;44;13;18;34;57;59;648
Rumanía;47;31;26;24;30;14;15;14;14;11;18;41;285
Rusia;157;80;126;78;67;59;55;60;46;61;137;122;1048
Suecia;225;141;169;101;67;26;56;36;25;44;111;135;1136
Suiza;423;315;329;267;197;190;215;214;151;192;273;339;3105
Otros Europa;234;203;177;177;85;68;98;90;76;74;164;304;1750
ASIA Y EL PACÍFICO;972;472;540;507;404;434;513;423;447;466;502;673;6353
China;54;58;82;40;34;62;49;37;31;46;57;77;627
Filipinas;31;26;16;18;5;28;17;18;16;10;21;20;226
India;19;17;27;48;22;23;11;25;17;17;16;41;283
Japón;44;52;43;39;33;26;23;30;35;38;37;68;468
Rep. de Corea (Sur);202;47;46;63;37;16;60;33;59;40;39;99;741
Rep. Dem. Pop. Corea (Norte);;;;;;;;;;;;;
Taiwan;31;16;73;37;14;44;46;16;34;28;57;50;446
Australia;525;201;194;205;195;175;219;195;179;199;217;242;2746
Nueva Zelanda;58;37;48;43;53;43;80;56;66;76;46;47;653
Otros Asia y El Pacífico;8;18;11;14;11;17;8;13;10;12;12;29;163
ÁFRICA;43;42;31;30;24;29;37;32;34;21;28;42;393
Marruecos;1;5;;1;2;2;1;3;;2;;4;21
Nigeria;2;;;;;;;1;2;;1;;6
Sudáfrica;15;31;23;20;18;22;26;22;25;17;19;30;268
Otros África;25;6;8;9;4;5;10;6;7;2;8;8;98
