País;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;TOTAL
Gran Total;64833;62842;71935;51551;36194;43832;45625;33552;16023;18664;42561;64977;552589
AMÉRICA DEL NORTE;59538;58075;67658;47642;33190;41166;41560;30507;14121;16470;39188;60085;509200
Canadá;17682;15284;13845;9998;3494;2518;3494;2596;1848;3052;10249;16094;100154
Estados Unidos;41801;42693;53691;37560;29548;38520;37933;27823;12198;13353;28645;43553;407318
México;55;98;122;84;148;128;133;88;75;65;294;438;1728
AMÉRICA CENTRAL;76;73;70;73;109;81;71;73;71;113;87;136;1033
Belice;1;;0;1;2;2;;;;1;4;;11
El Salvador;11;10;13;11;17;19;7;12;10;10;17;7;144
Guatemala;11;14;10;11;18;11;9;11;12;8;9;16;140
Honduras;4;;1;4;5;4;4;3;4;1;3;9;42
Nicaragua;28;26;20;16;24;22;29;22;25;76;37;65;390
Panamá;21;23;26;30;43;23;22;25;20;17;17;39;306
AMÉRICA DEL SUR;404;402;263;264;353;228;277;192;191;118;305;336;3333
Argentina;106;64;67;56;64;42;51;23;23;18;61;41;616
Bolivia;3;4;;10;1;2;2;4;;2;1;2;31
Brasil;125;117;57;75;97;57;40;44;47;30;135;152;976
Chile;91;135;30;35;101;48;51;35;52;20;33;65;696
Colombia;38;26;42;31;37;30;58;27;24;20;39;29;401
Ecuador;6;2;4;6;3;4;24;5;7;1;2;4;68
Guyana;;1;2;4;5;1;11;5;3;1;;4;37
Paraguay;1;7;5;;10;6;1;;3;4;1;;38
Perú;14;14;15;23;14;18;17;19;15;10;12;12;183
Surinam;;;0;0;0;1;;;;;;1;2
Uruguay;3;11;10;11;10;7;2;11;1;4;3;4;77
Venezuela;17;21;31;13;11;12;20;19;16;8;18;22;208
CARIBE;37;31;52;63;78;52;59;55;41;38;58;46;610
Bahamas;2;6;8;3;3;3;9;2;2;2;4;5;49
Bermuda;1;6;1;3;6;4;10;5;1;7;6;50;21
Cuba;3;1;8;6;10;3;7;7;3;2;7;2;59
Haití;2;;3;7;5;3;4;8;2;4;1;2;41
Jamaica;13;5;11;8;12;11;5;5;8;11;5;6;100
Puerto Rico1;;;0;0;0;0;;;;;;;0
RepúblicaDominicana;7;8;12;14;30;15;12;12;18;11;15;13;167
Trinidad y Tobago;6;3;6;21;7;7;7;7;3;2;7;6;82
Otros;3;2;3;1;5;6;5;9;5;5;12;6;62
EUROPA;4387;3841;3459;2946;2063;1921;3195;2347;1455;1719;2442;3625;33400
Alemania;391;391;328;154;110;88;185;113;78;47;171;250;2306
Austria;43;36;30;24;14;12;24;9;14;12;17;31;266
Bélgica;85;92;70;84;23;11;82;31;11;29;48;73;639
Dinamarca;77;37;39;20;12;12;25;4;8;11;21;36;302
Eslovaquia;30;24;23;32;20;6;6;11;5;6;12;12;187
España;97;78;107;99;64;62;174;121;55;33;61;65;1016
Finlandia;23;12;33;5;5;6;8;9;5;1;8;24;139
Francia;443;659;318;215;119;83;206;176;65;34;130;273;2721
Hungría;35;13;15;11;10;4;6;6;3;4;7;14;128
Irlanda;56;36;57;57;34;39;41;22;17;19;39;52;469
Israel;45;41;72;53;13;25;67;63;6;9;33;53;480
Italia;247;215;132;101;68;51;131;132;42;47;92;184;1442
Noruega;34;20;15;11;7;5;33;9;12;9;11;69;235
Países Bajos;138;108;114;106;56;38;130;69;26;35;55;91;966
Polonia;89;63;55;57;29;26;41;19;14;26;31;40;490
Portugal;30;17;29;15;13;16;7;15;10;12;20;20;204
Reino Unido;1889;1539;1608;1648;1263;1300;1836;1405;1012;1279;1444;1851;18074
Republica Checa;172;166;95;30;21;7;9;20;8;11;17;20;576
Rumanía;16;8;6;15;20;14;7;6;8;9;16;28;153
Rusia;73;27;38;42;33;17;23;18;15;8;27;70;391
Suecia;103;67;89;32;21;20;29;10;8;14;26;124;543
Suiza;61;64;76;24;20;26;71;39;10;17;44;76;528
Otros Europa;210;128;110;111;88;53;54;40;23;47;112;169;1145
ASIA Y EL PACÍFICO;347;378;370;502;364;339;419;339;126;183;424;688;4479
China;32;55;65;51;61;45;62;30;10;22;51;154;638
Filipinas;15;27;18;15;14;38;19;18;12;4;14;13;207
India;50;51;88;132;64;47;70;70;25;29;125;185;936
Japón;22;39;27;45;39;33;25;35;4;11;41;41;362
Rep. de Corea (Sur);29;31;15;26;26;17;13;32;7;6;14;27;243
Rep. Dem. Pop. Corea (Norte);;;;;;;;;;;;;0
Taiwan;7;6;5;5;16;6;9;4;2;2;1;6;69
Australia;134;105;79;129;96;108;125;106;39;71;115;153;1260
Nueva Zelanda;30;10;33;52;20;17;33;16;12;21;18;38;300
Otros Asia y El Pacífico;28;54;40;47;28;28;63;28;15;17;45;71;464
ÁFRICA;27;30;42;45;34;37;30;20;15;18;40;41;379
Marruecos;5;4;4;3;1;1;2;1;;;;2;23
Nigeria;2;;1;4;6;1;3;;4;1;3;6;31
Sudáfrica;10;20;21;23;17;24;8;8;10;15;27;10;193
Otros África;10;6;16;15;10;11;17;11;1;2;10;23;132
ORIENTE MEDIO;17;12;21;16;3;8;14;19;3;5;17;20;155
Arabia Saudita;;1;;1;;1;3;1;;1;;4;12
Egipto;4;5;1;2;1;4;1;1;;1;1;4;25
Emiratos Árabes Unidos;;;4;;;;;5;;;2;;11
Jordania;;2;;;;;;1;;2;10;;15
Líbano;;3;5;5;;2;1;3;1;1;2;4;27
Otros Medio Oriente;13;3;9;8;2;1;9;8;2;;2;8;65
