País;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;TOTAL
TOTAL;180599;196893;89275;400;471;542;387;1597;3109;8467;27007;51893;560640
AMÉRICA DEL NORTE;103202;114877;53875;170;251;308;184;291;1514;5585;18874;33717;332848
Canadá;18524;19907;8464;5;1;13;10;55;218;301;1202;2515;51215
Estados Unidos;77973;89088;42331;161;239;276;169;221;1274;4894;16578;29318;262522
México;6705;5882;3080;4;11;19;5;15;22;390;1094;1884;19111
AMÉRICA CENTRAL;11614;11317;4347;72;62;47;30;29;42;374;1612;2700;32246
Belice;88;47;12;;;;;0;0;2;0;24;173
El Salvador;2873;3113;858;1;14;2;7;8;4;31;314;601;7826
Guatemala;3343;3220;1219;5;5;16;5;1;2;71;437;716;9040
Honduras;1528;1248;566;2;5;8;0;4;2;22;190;295;3870
Nicaragua;1651;1362;687;61;38;12;12;15;23;69;311;546;4787
Panamá;2131;2327;1005;3;0;9;6;1;11;179;360;518;6550
AMÉRICA DEL SUR;16227;15074;6621;74;77;40;25;46;86;277;1799;3327;43673
Argentina;3352;2725;1229;3;22;2;3;5;18;53;256;662;8330
Bolivia;203;138;55;1;;;0;0;2;5;52;62;518
Brasil;2032;2137;740;2;7;2;1;9;9;32;233;467;5671
Chile;1692;2315;900;10;3;11;1;3;14;12;187;268;5416
Colombia;4034;3353;1532;7;32;18;8;10;11;54;497;818;10374
Ecuador;552;471;191;2;1;2;0;2;1;9;59;88;1378
Guyana;15;10;4;;;;;0;1;1;2;2;35
Paraguay;86;64;38;;;;;0;0;0;9;12;209
Perú;1193;1324;603;40;2;1;1;2;5;26;152;299;3648
Surinam;1;10;2;;;;;0;0;0;0;0;13
Uruguay;497;436;209;1;1;0;;6;6;22;32;52;1262
Venezuela;2570;2091;1118;8;9;4;11;9;19;63;320;597;6819
CARIBE;906;884;431;5;2;13;1;3;10;52;179;198;2684
Bahamas;33;5;6;;;;;0;1;0;7;12;64
Bermuda;4;20;9;1;;;;0;0;0;0;5;39
Cuba;218;235;136;2;;11;0;1;2;19;58;72;754
Haití;34;29;14;;;;;0;0;5;14;7;103
Jamaica;65;55;27;;0;2;;0;1;4;20;17;191
Puerto Rico^{1};;;;;;;;;;;;;0
República Dominicana;462;423;184;2;2;;1;1;5;22;69;66;1237
Trinidad y Tobago;58;82;40;;0;;;0;1;0;4;10;195
Otros Caribe;32;35;15;0;0;0;0;1;0;2;7;9;101
EUROPA;44330;50481;22430;72;70;121;137;1199;1365;2043;4113;11228;137589
Alemania;6518;8486;4722;21;7;10;4;249;274;404;718;1473;22886
Austria;891;955;376;1;;3;1;16;24;25;66;136;2494
Bélgica;906;976;467;;2;;2;38;23;62;107;366;2949
Dinamarca;989;1240;294;0;;0;1;15;34;25;56;106;2760
Eslovaquia;113;177;44;;;;;1;3;5;16;55;414
España;4283;4100;2046;1;34;22;60;277;258;307;547;1132;13067
Finlandia;198;228;59;;;;;4;2;8;11;34;544
Francia;8942;12971;5167;17;6;29;22;174;185;378;456;2679;31026
Hungría;237;266;111;;;;;2;4;7;34;50;711
Irlanda;334;291;121;;;4;2;11;6;10;31;63;873
Israel;1082;1334;420;;1;1;5;7;23;28;238;459;3598
Italia;2723;2366;721;3;11;19;6;76;90;161;255;458;6889
Noruega;358;337;173;;;;;4;2;6;22;21;923
Países Bajos;3048;2918;1439;;1;1;3;62;59;75;169;390;8165
Polonia;493;589;223;;0;1;;14;21;11;54;223;1629
Portugal;416;416;169;;;2;;12;17;16;32;73;1153
Reino Unido;6128;6601;3105;5;2;4;5;110;163;249;430;1043;17845
Republica Checa;371;390;171;;1;1;;11;38;34;141;428;1586
Rumanía;199;187;67;1;;;;9;13;31;58;111;676
Rusia;552;394;187;;;;3;6;11;18;77;227;1475
Suecia;1305;1252;420;1;4;;;18;25;30;62;225;3342
Suiza;3085;2803;1467;22;1;2;1;56;57;107;375;1086;9062
Otros Europa;1159;1204;461;0;0;22;22;27;33;46;158;390;3522
ASIA Y EL PACÍFICO;4018;3987;1394;7;9;6;4;23;78;115;338;567;10546
China;1064;705;306;4;2;;;0;18;42;101;96;2338
Filipinas;174;179;58;;1;1;;1;16;17;48;47;542
India;640;710;245;0;1;1;;0;4;8;50;126;1785
Japón;496;676;178;2;2;;1;2;13;7;19;56;1452
Rep. de Corea (Sur);450;601;130;;;1;;1;4;10;18;30;1245
Rep. Dem. Pop. Corea (Norte);1;0;;;;;;;;;;;1
Taiwan;160;129;49;;2;;;0;3;0;14;8;365
Australia;704;635;280;1;1;2;;13;8;22;48;119;1833
Nueva Zelanda;126;126;74;;;;;2;2;5;13;24;372
Otros Asia y El Pacífico;203;226;74;0;0;1;3;4;10;4;27;61;613
ÁFRICA;221;205;122;0;0;4;3;5;7;12;75;108;762
Marruecos;13;19;10;;;2;;1;0;2;0;8;55
Nigeria;14;7;4;;;;;2;1;1;5;7;41
Sudáfrica;92;97;53;;;1;1;0;2;4;38;54;342
Otros África;102;82;55;0;0;1;2;2;4;5;32;39;324
ORIENTE MEDIO;81;68;55;0;0;3;3;1;7;9;17;48;292
Arabia Saudita;12;9;6;;;;;0;0;0;2;8;37
Egipto;19;17;10;;;;;0;1;3;1;12;63
Emiratos Árabes Unidos;5;4;11;;;1;;0;0;1;6;1;29
Jordania;9;8;3;;;;;0;1;0;4;5;30
Líbano;12;13;9;;;;;0;0;3;2;9;48
Otros Oriente Medio;24;17;16;0;0;2;3;1;5;2;2;13;85
