País;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;TOTAL
Gran Total;133358;132480;141831;108612;95332;110268;127976;103484;70610;77829;102671;135940;1340391
AMÉRICA DEL NORTE;77665;79250;92390;66053;60354;78414;81667;57972;34927;39768;54329;84334;807123
Canadá;11541;12508;10680;5869;4105;3168;4402;3489;2083;2958;5300;10024;76127
Estados Unidos;61631;62353;76894;54354;51127;70337;69835;48692;27323;31253;42594;67245;663638
México;4493;4389;4816;5830;5122;4909;7430;5791;5521;5557;6435;7065;67358
AMÉRICA CENTRAL;7835;7217;7656;7454;9003;8134;7988;8353;8014;8285;8842;8207;96988
Belice;59;27;65;44;56;66;53;47;37;55;69;35;613
El Salvador;1446;1380;1630;1462;1783;1552;1810;1783;1520;1561;1741;1765;19433
Guatemala;2182;2182;2345;2363;2844;2558;2263;2290;2408;2363;2808;2535;29141
Honduras;1383;1065;1081;1161;1223;1223;1103;1242;1195;1225;1172;1022;14095
Nicaragua;1042;857;845;790;1052;884;910;1042;840;996;1039;945;11242
Panamá;1723;1706;1690;1634;2045;1851;1849;1949;2014;2085;2013;1905;22464
AMÉRICA DEL SUR;14376;10994;9410;8849;8714;7313;9073;9592;8698;8714;9102;9884;114719
Argentina;2224;1467;1452;1209;1038;880;1109;1183;1025;1088;1199;1302;15176
Bolivia;134;126;141;91;131;175;152;142;150;115;174;116;1647
Brasil;1268;1166;1295;1308;1227;814;1101;1296;1304;1190;1212;1923;15104
Chile;971;958;636;557;536;454;701;721;600;513;578;583;7808
Colombia;3582;2550;2726;2577;2670;2495;2666;2996;2797;2936;2914;3050;33959
Ecuador;574;390;494;410;597;352;475;470;380;351;406;392;5291
Guyana;12;6;9;9;16;13;10;18;12;17;17;13;152
Paraguay;70;69;160;58;99;35;55;94;67;17;83;52;859
Perú;765;796;635;540;571;536;870;795;620;640;685;614;8067
Surinam;10;6;14;8;2;7;4;11;5;10;10;5;92
Uruguay;218;303;246;322;210;213;238;249;228;165;220;198;2810
Venezuela;4548;3157;1602;1760;1617;1339;1692;1617;1510;1672;1604;1636;23754
CARIBE;915;821;834;920;806;831;913;1081;825;696;835;709;10186
Bahamas;15;11;9;47;19;38;59;19;23;26;12;12;290
Bermuda;13;10;49;74;45;25;35;54;31;19;16;37;408
Cuba;272;168;217;235;199;201;240;217;174;187;198;226;2534
Haití;38;21;12;12;26;17;21;26;25;14;35;21;268
Jamaica;84;45;78;52;54;60;51;68;64;42;54;40;692
Puerto Rico1;3;;;;1;;;;;1;1;2;8
RepúblicaDominicana;388;449;355;364;359;330;397;483;407;310;409;290;4541
Trinidad y Tobago;69;79;66;103;74;112;70;160;73;60;73;65;1004
Otros;33;38;48;33;29;48;40;54;28;37;37;16;441
EUROPA;29778;31711;28236;22777;13881;13209;25857;23807;15959;18316;26798;29175;279504
Alemania;4382;5461;5741;3578;2020;1661;3521;3921;2460;3285;5301;4887;46218
Austria;688;734;513;340;211;238;535;419;256;283;573;609;5399
Bélgica;949;922;764;823;329;397;1227;528;457;414;868;640;8318
Dinamarca;523;463;252;286;110;142;290;141;119;298;294;391;3309
Eslovaquia;102;109;79;42;29;35;21;18;43;50;80;51;659
España;3966;3576;3570;3977;3442;3735;5320;7746;5497;4447;4739;3590;53605
Finlandia;200;167;117;66;54;51;41;52;49;72;130;301;1300
Francia;5134;6757;5802;3747;1833;1202;3479;2810;1049;2030;3803;3615;41261
Hungría;115;101;65;41;24;32;25;31;40;57;90;88;709
Irlanda;150;133;144;144;102;165;229;123;107;88;153;169;1707
Israel;1164;1146;1000;1186;526;530;609;619;542;706;521;1139;9688
Italia;2418;2117;1681;1491;1033;1078;1342;1867;1121;1347;1899;2352;19746
Noruega;313;320;357;285;114;170;178;113;99;138;345;424;2856
Países Bajos;1990;1894;1494;1289;895;855;3571;1364;1164;1255;1556;1853;19180
Polonia;243;318;296;127;97;60;87;120;111;141;245;163;2008
Portugal;180;190;264;302;132;120;161;212;158;199;230;236;2384
Reino Unido;3091;3257;2873;2363;1449;1406;2786;2293;1178;1527;2456;2925;27604
Republica Checa;243;283;259;176;85;59;86;62;64;69;336;194;1916
Rumanía;121;159;134;76;72;72;64;61;47;45;90;118;1059
Rusia;458;423;303;350;208;161;148;170;212;274;328;520;3555
Suecia;922;915;567;344;152;203;252;157;202;332;717;2447;7210
Suiza;1712;1608;1391;1353;653;607;1586;698;760;928;1569;1841;14706
Otros;714;658;570;391;311;230;299;282;224;331;475;622;5107
ASIA;1745;1782;2289;1700;1853;1744;1793;1865;1611;1476;1946;2500;22304
China;399;510;737;566;564;533;567;491;513;510;635;674;6699
Filipinas;104;99;102;102;96;91;103;91;96;68;72;74;1098
India;275;277;391;328;423;327;375;381;245;208;426;668;4324
Japón;380;438;490;282;253;222;278;340;359;239;358;544;4183
Rep. de Corea (Sur);320;234;260;229;199;310;256;334;205;280;227;300;3154
Rep. Dem. Pop. Corea (Norte);;;30;;;;;;;;;;30
Taiwan;127;118;135;98;153;104;113;67;82;86;96;86;1265
Otros;140;106;144;95;165;157;101;161;111;85;132;154;1551
ÁFRICA;185;164;409;282;203;146;143;291;172;164;161;255;2575
Arabia Saudita;15;4;22;9;15;11;4;8;15;12;;22;137
Líbano;7;13;9;27;9;10;11;19;7;5;9;14;140
Marruecos;5;8;14;16;12;8;6;10;7;9;26;9;130
Nigeria;10;7;58;8;14;8;12;19;11;6;8;8;169
Sudáfrica;53;66;88;71;55;46;68;58;68;60;57;83;773
Otros;95;66;218;151;98;63;42;177;64;72;61;119;1226
OCEANÍA;859;541;607;577;518;477;542;523;404;410;658;876;6992
Australia;731;465;438;472;420;410;429;413;331;342;551;699;5701
Nueva Zelanda;127;74;166;103;98;65;112;108;73;67;107;176;1276
Otros;1;2;3;2;;2;1;2;;1;;1;15
