País;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre;TOTAL
Gran Total;147100;153234;158151;121922;108783;126725;153091;121686;84260;92706;116402;156406;1540466
AMÉRICA DEL NORTE;86697;91704;102197;71873;67890;87354;89022;65495;43819;46205;59271;91819;903346
Canadá;11383;11995;9403;6352;4855;3919;5474;4684;3065;3850;6261;12441;83682
Estados Unidos;69320;73555;85245;59411;55785;76494;73888;52900;33502;35392;46038;71514;733044
México;5994;6154;7549;6110;7250;6941;9660;7911;7252;6963;6972;7864;86620
AMÉRICA CENTRAL;9282;10406;10033;9808;9840;9807;12408;11214;9722;10799;12987;13128;129434
Belice;66;29;67;49;75;45;82;46;56;48;84;41;688
El Salvador;2137;2292;2316;2116;2252;2368;3533;2927;2291;2603;3150;3514;31499
Guatemala;2666;3238;3005;3080;3099;3103;3595;3117;2712;3100;3820;4458;38993
Honduras;1112;1133;1178;1225;992;1017;1413;1187;1021;1227;1699;1117;14321
Nicaragua;1064;1162;1035;1026;1119;1149;1326;1278;1094;1370;1445;1425;14493
Panamá;2237;2552;2432;2312;2303;2125;2459;2659;2548;2451;2789;2573;29440
AMÉRICA DEL SUR;14066;11078;10688;11500;10854;10250;13148;11897;11106;11768;12104;12498;140957
Argentina;2639;1986;2181;2028;1637;1381;1744;1480;1458;1486;1614;2175;21809
Bolivia;159;120;140;140;163;144;182;176;171;164;179;132;1870
Brasil;1458;1250;1074;1513;1386;1292;1692;1501;1524;1390;1520;1498;17098
Chile;1083;1130;636;837;701;647;943;886;820;875;779;751;10088
Colombia;4137;2903;2949;3105;3006;3269;3671;3208;3108;3269;3533;3577;39735
Ecuador;529;433;367;514;435;390;546;582;430;500;550;399;5675
Guyana;7;12;7;15;10;10;19;14;10;14;14;20;152
Paraguay;102;105;53;83;88;69;79;62;73;159;54;55;982
Perú;972;1018;1022;999;964;753;1148;1010;835;946;1013;965;11645
Surinam;8;6;7;5;6;13;11;2;1;20;6;2;87
Uruguay;272;250;250;337;244;267;312;279;256;285;289;259;3300
Venezuela;2700;1865;2002;1924;2214;2015;2801;2697;2420;2660;2553;2665;28516
CARIBE;1014;955;867;1020;888;790;1078;983;973;896;852;747;11063
Bahamas;22;24;10;14;23;18;64;36;33;17;13;10;284
Bermuda;25;17;38;57;21;21;20;36;22;18;47;20;342
Cuba;313;253;230;291;224;209;280;206;288;205;228;216;2943
Haití;42;32;23;15;20;22;30;32;24;23;27;29;319
Jamaica;62;58;79;77;78;61;69;64;49;54;52;57;760
Puerto Rico1;1;1;1;1;;3;4;4;;1;3;;19
RepúblicaDominicana;442;436;386;433;384;379;433;466;445;477;380;322;4983
Trinidad y Tobago;69;97;61;89;103;53;130;96;65;60;59;67;949
Otros;38;37;39;43;35;24;48;43;47;41;43;26;464
EUROPA;32687;35779;30706;24483;16137;15594;34265;29072;15945;20124;27669;33609;316070
Alemania;4867;6114;6208;3784;2597;2045;4261;3669;2146;3180;4821;4537;48229
Austria;745;742;459;328;192;224;646;357;224;328;537;677;5459
Bélgica;775;791;958;450;345;381;1307;564;404;508;647;924;8054
Dinamarca;775;677;506;212;179;240;644;210;114;209;266;537;4569
Eslovaquia;79;90;54;43;19;41;40;41;47;64;65;84;667
España;3886;3413;4323;3275;3573;3833;6923;9219;4861;4254;4647;4406;56613
Finlandia;240;219;124;70;67;50;96;40;27;65;177;212;1387
Francia;5954;8134;5288;5708;1892;1530;4579;3655;1428;2598;4740;5317;50823
Hungría;120;95;85;45;61;27;37;37;39;61;90;93;790
Irlanda;195;187;221;160;138;157;292;185;128;131;188;215;2197
Israel;1336;1688;1435;1522;888;607;1056;967;757;1407;623;1033;13319
Italia;2473;2112;1655;1393;1149;1300;1792;2755;1183;1392;1832;2804;21840
Noruega;330;335;330;120;85;155;190;78;95;157;187;301;2363
Países Bajos;1990;2046;1550;1560;918;964;4005;1627;1072;1239;1457;1803;20231
Polonia;263;255;195;193;97;126;138;124;136;137;293;189;2146
Portugal;209;229;258;223;159;182;218;296;156;174;326;235;2665
Reino Unido;3896;4362;3866;2740;2188;2200;5019;3476;1446;2127;3379;4788;39487
Republica Checa;198;165;129;125;54;62;52;40;68;108;202;166;1369
Rumanía;118;105;100;83;73;71;53;183;325;90;123;124;1448
Rusia;315;231;212;249;235;140;158;162;157;193;336;353;2741
Suecia;1345;1256;734;308;182;327;284;190;178;329;625;2052;7810
Suiza;1947;1897;1543;1489;716;684;2010;842;626;1003;1587;1928;16272
Otros;631;636;473;403;330;248;465;355;328;370;521;831;5591
ASIA;2282;2498;2848;2207;2275;2211;2330;2198;2034;2187;2588;3289;28947
China;782;920;1184;928;927;999;936;828;936;986;955;1086;11467
Filipinas;145;130;110;117;150;93;115;124;105;107;117;121;1434
India;372;410;447;421;488;365;508;427;329;332;499;883;5481
Japón;384;466;505;305;249;294;267;373;251;271;409;550;4324
Rep. de Corea (Sur);367;330;344;235;215;260;310;237;229;296;313;345;3481
Rep. Dem. Pop. Corea (Norte);;;;;;;;;;;;;
Taiwan;126;125;112;83;123;110;70;81;75;82;119;74;1 180
Otros;106;117;146;118;123;90;124;128;109;113;176;230;1580
ÁFRICA;213;200;252;244;239;161;271;257;180;137;214;288;2656
Arabia Saudita;16;2;27;8;21;7;7;22;11;4;9;14;148
Líbano;11;7;13;15;10;22;13;15;8;9;12;12;147
Marruecos;14;6;8;15;12;4;12;27;3;11;8;32;152
Nigeria;7;11;15;15;12;14;25;20;21;11;5;10;166
Sudáfrica;47;59;48;83;76;47;73;45;47;49;72;106;752
Otros;118;115;141;108;108;67;141;128;90;53;108;114;1291
OCEANÍA;859;614;560;787;660;558;569;570;481;590;717;1028;7993
Australia;742;511;479;610;522;451;456;466;382;491;573;874;6557
Nueva Zelanda;112;97;81;174;136;103;111;101;99;94;143;153;1404
Otros;5;6;3;2;4;2;3;5;1;1;32;;
